row_id,price,spec_general_marque,spec_general_type_produit,spec_general_reference,spec_informations_impedance_nominale,spec_forme_materiaux_systeme_magnetique,spec_forme_materiaux_forme_facade,spec_parametres_petits_signaux_qts,spec_parametres_petits_signaux_qes,spec_parametres_petits_signaux_qms,spec_forme_materiaux_materiau_saladier,spec_forme_materiaux_materiau_suspension,spec_forme_materiaux_support_bobine,spec_forme_materiaux_fil_bobine,spec_forme_materiaux_materiau_dome,spec_informations_puissance_nominale_w,spec_informations_sensibilite_fabricant_db,spec_parametres_petits_signaux_fs_hz,spec_donnees_poids_kg,spec_parametres_fondamentaux_re_ohm,spec_donnees_xmax_mm,spec_parametres_fondamentaux_mms_gr,spec_donnees_ebp_hz,spec_parametres_petits_signaux_vas_l,spec_donnees_rendement_calcule_pct,spec_parametres_fondamentaux_le_mh,spec_parametres_fondamentaux_sd_cm2,spec_parametres_fondamentaux_bl_t_m,spec_dimensions_diametre_systeme_magnetique_mm,spec_informations_puissance_max_w,spec_dimensions_hauteur_entrefer_mm,spec_dimensions_hauteur_bobinage_mm,spec_donnees_rendement_pct
11,79.0,Audax,Haut parleur a cone,HT240M0,8 ohm,Ferrite,Cylindrique,0.37,0.47,1.81,Acier,Mousse,Aluminium,,,80.0,92.0,28.0,1.7,6.3,4.5,23.0,60.0,223.0,1.0,0.6,340.0,7.41,102.5,,6.0,15.0,
12,136.0,Audax,Haut parleur a cone,PR170Z0,8 ohm,Ferrite,Cylindrique,0.4,0.49,2.19,,Tissu + Caoutchouc,Kapton,CCAW (alu recouvert de cuivre),,100.0,99.0,185.0,2.9,6.2,0.5,6.2,378.0,3.31,4.11,0.73,140.0,10.0,124.6,,6.0,7.0,
13,129.0,Audax,Haut parleur a cone,PR240M0,8 ohm,Ferrite,Cylindrique,0.53,0.58,6.13,Zamak,Mousse,Kapton,Cuivre,,100.0,95.0,32.0,4.4,6.1,4.0,24.0,55.0,188.0,1.02,0.33,358.0,7.15,124.6,,6.0,14.0,
14,168.0,Audax,Haut parleur a cone,PR300M0,8 ohm,Ferrite,Cylindrique,0.26,0.28,3.55,Zamak,Mousse,Kapton,Cuivre,,100.0,97.0,17.0,,5.7,4.4,33.0,61.0,1012.0,1.71,0.42,521.0,8.4,124.6,,6.0,14.8,
15,391.0,Audax,Haut parleur a cone,PR380T0,8 ohm,Ferrite,Cylindrique,0.64,0.75,4.13,Zamak,,Kapton,Cuivre,,150.0,99.0,52.0,8.4,6.0,4.15,79.5,69.0,130.0,2.34,0.65,892.0,14.4,189.5,,7.0,15.3,
16,252.0,B&C Speakers,Haut parleur a cone,10BG76,8 ohm,Neodymium,Cylindrique,0.22,0.23,5.74,Aluminium,Caoutchouc,Fibre de verre,Cuivre,,500.0,91.3,49.0,4.8,4.1,9.6,91.4,213.0,16.7,0.83,1.37,320.0,22.4,,1000.0,11.5,25.0,0.86
17,102.0,B&C Speakers,Haut parleur a cone,10CL51,4 ohm,Neodymium,Cylindrique,0.54,0.63,3.8,Acier,Tissu,Fibre de verre,Aluminium,,200.0,93.0,59.0,1.2,3.3,5.8,29.4,94.0,35.7,1.12,0.37,320.0,7.6,,,15.5,8.0,1.12
18,97.0,B&C Speakers,Haut parleur a cone,10CL51,8 ohm,Neodymium,Cylindrique,0.38,0.42,3.5,Acier,Tissu,Fibre de verre,Aluminium,,150.0,96.0,58.0,1.2,5.2,5.5,30.5,138.0,36.0,1.61,0.8,320.0,11.6,,,8.0,15.0,1.57
19,124.0,B&C Speakers,Haut parleur a cone,10CL64,8 ohm,Neodymium,Cylindrique,0.31,0.33,5.1,Acier,Tissu,Fibre de verre,Aluminium,,250.0,96.1,63.0,2.0,5.3,5.2,41.6,191.0,22.2,1.62,1.17,320.0,16.3,,500.0,8.0,14.3,1.69
20,128.0,B&C Speakers,Haut parleur a cone,10CLA64,16 ohm,Neodymium,Cylindrique,0.41,0.46,3.8,Acier,Tissu,Fibre de verre,CCAW (alu recouvert de cuivre),,250.0,96.0,72.0,1.9,10.6,4.5,33.6,157.0,21.0,1.64,0.7,320.0,18.8,,500.0,8.0,13.0,1.64
21,128.0,B&C Speakers,Haut parleur a cone,10CLA64,8 ohm,Neodymium,Cylindrique,0.42,0.45,6.8,Acier,,Fibre de verre,CCAW (alu recouvert de cuivre),,250.0,96.0,74.0,1.9,6.3,5.0,36.0,164.0,18.5,1.6,0.9,320.0,14.5,,,8.0,14.0,1.65
22,164.0,B&C Speakers,Haut parleur a cone,10CLA76,8 ohm,Neodymium,Cylindrique,0.29,0.3,6.72,Acier,Tissu,Fibre de verre,CCAW (alu recouvert de cuivre),,400.0,,71.0,3.2,5.2,6.5,44.7,237.0,16.4,1.88,1.14,320.0,18.55,,800.0,11.0,18.5,1.92
23,258.0,B&C Speakers,Haut-parleur coaxial a deux entrees,10CLX64,8+8 ohm,Neodymium,Cylindrique,0.63,0.67,9.8,Acier,Tissu,Fibre de verre,Aluminium,,250.0,94.0,70.0,3.1,5.6,,36.0,104.0,21.0,1.04,0.91,320.0,11.4,,500.0,14.5,8.0,1.1
24,330.0,B&C Speakers,Haut-parleur coaxial a deux entrees,10CXN64,8+8 ohm,Neodymium,Cylindrique,0.31,0.33,5.6,Aluminium,,Kapton,CCAW (fil alu recouvert de cuivre),,250.0,97.0,68.0,3.2,5.6,5.5,33.5,206.0,23.0,2.11,1.1,320.0,15.8,,,9.0,15.0,2.2
25,291.0,B&C Speakers,Haut-parleur coaxial a deux entrees,10FCX64,8+8 ohm,Ferrite,Cylindrique,0.42,0.44,7.9,Aluminium,,Kapton,Aluminium,,250.0,95.0,63.0,5.7,5.5,5.5,37.0,143.0,25.0,1.37,1.2,320.0,13.4,170.0,,8.0,13.0,1.4
26,152.0,B&C Speakers,Haut parleur a cone,10FW64,8 ohm,Ferrite,Cylindrique,0.23,0.25,3.4,Aluminium,,Fibre de verre,Aluminium,,250.0,98.0,63.0,5.9,5.0,5.0,34.0,252.0,27.0,2.6,0.9,320.0,16.4,,,8.0,14.0,2.6
27,105.0,B&C Speakers,Haut parleur a cone,10HPL51,8 ohm,Neodymium,Cylindrique,0.36,0.41,3.5,Aluminium,,Kapton,Aluminium,,150.0,97.5,55.0,1.9,5.0,4.0,24.0,134.0,50.0,1.95,0.9,320.0,10.2,,,8.0,13.5,2.1
28,127.0,B&C Speakers,Haut parleur a cone,10HPL64,16 ohm,Neodymium,Cylindrique,0.36,0.39,5.05,Aluminium,,Fibre de verre,Aluminium,,200.0,97.0,64.0,2.0,10.37,4.0,29.2,164.0,30.4,1.97,0.63,320.0,17.7,,,8.0,13.0,1.99
29,127.0,B&C Speakers,Haut parleur a cone,10HPL64,4 ohm,Neodymium,Cylindrique,0.28,0.3,4.65,Aluminium,Tissu,Fibre de verre,Aluminium,,200.0,98.0,63.0,2.0,3.3,4.0,30.7,210.0,29.5,2.37,0.51,320.0,11.58,,,8.0,12.0,2.39
30,127.0,B&C Speakers,Haut parleur a cone,10HPL64,8 ohm,Neodymium,Cylindrique,0.31,0.33,4.5,Aluminium,,Fibre de verre,Aluminium,,200.0,98.5,61.0,2.0,5.4,4.0,29.0,185.0,32.0,2.12,0.5,320.0,15.0,,,8.0,12.0,2.5
31,171.0,B&C Speakers,Haut parleur a cone,10MBX64,16 ohm,Neodymium,Cylindrique,0.3,0.32,5.8,Aluminium,,Fibre de verre,Aluminium,,350.0,100.0,65.0,3.2,10.2,4.0,30.0,203.0,30.0,2.48,0.57,346.0,20.5,,,8.0,12.0,3.0
32,171.0,B&C Speakers,Haut parleur a cone,10MBX64,8 ohm,Neodymium,Cylindrique,0.26,0.27,5.6,Aluminium,,Fibre de verre,Aluminium,,350.0,100.0,65.0,3.2,5.5,4.0,32.0,241.0,28.0,2.74,0.39,346.0,16.9,,,8.0,12.0,3.2
33,162.0,B&C Speakers,Haut parleur a cone,10MD26,8 ohm,Ferrite,Cylindrique,0.21,0.22,4.8,Aluminium,,Fibre de verre,Aluminium,,350.0,100.0,76.0,7.3,5.8,1.5,31.0,345.0,20.0,3.84,1.2,320.0,19.6,,,8.0,11.0,3.9
34,162.0,B&C Speakers,Haut parleur a cone,10NDL64,16 ohm,Neodymium,Cylindrique,0.3,0.33,3.56,Aluminium,Tissu,Fibre de verre,Aluminium,,250.0,97.0,58.0,2.9,10.5,6.0,31.8,176.0,34.5,1.96,1.3,320.0,19.11,,,8.0,14.0,1.93
35,162.0,B&C Speakers,Haut parleur a cone,10NDL64,4 ohm,Neodymium,Cylindrique,0.22,0.24,3.37,Aluminium,Tissu,Fibre de verre,Aluminium,,250.0,97.0,55.0,2.9,3.5,6.0,32.3,229.0,33.8,2.25,0.6,320.0,13.17,,500.0,,,2.65
36,162.0,B&C Speakers,Haut parleur a cone,10NDL64,8 ohm,Neodymium,Cylindrique,0.26,0.29,3.4,Aluminium,Tissu,Fibre de verre,Aluminium,,250.0,97.0,56.0,2.9,5.7,6.0,37.0,193.0,31.0,1.81,0.9,320.0,16.2,,,8.0,14.0,1.8
37,242.0,B&C Speakers,Haut parleur a cone,10NDL88,8 ohm,Neodymium,Cylindrique,0.25,0.26,7.3,Aluminium,Tissu,Fibre de verre,Aluminium,,700.0,96.0,61.0,4.6,5.1,8.1,53.5,235.0,18.4,1.55,1.18,320.0,20.0,,1400.0,11.0,21.7,1.59
38,271.0,B&C Speakers,Haut parleur a cone,10NSM76,16 ohm,Neodymium,Non cylindrique,0.66,0.72,8.7,Aluminium,,Fibre de verre,Aluminium,,400.0,99.0,235.0,3.8,10.7,3.5,33.0,326.0,2.0,3.47,1.5,320.0,21.5,,,9.0,11.5,3.5
39,258.0,B&C Speakers,Haut parleur a cone,10NSM76,8 ohm,Neodymium,Non cylindrique,0.52,0.55,8.6,Aluminium,,Fibre de verre,Aluminium,,400.0,100.0,235.0,5.3,5.2,3.5,33.0,427.0,2.0,4.54,0.9,320.0,21.5,,,9.0,11.0,4.5
40,156.0,B&C Speakers,Haut parleur a cone,10NW64,16 ohm,Neodymium,Cylindrique,0.29,0.33,2.42,Aluminium,Tissu,Fibre de verre,Cuivre,,300.0,96.0,59.0,2.9,11.0,8.0,42.7,179.0,24.2,1.45,1.0,320.0,23.2,,,8.0,18.0,1.5
41,156.0,B&C Speakers,Haut parleur a cone,10NW64,4 ohm,Neodymium,Cylindrique,0.22,0.25,2.27,Aluminium,Tissu,Fibre de verre,Cuivre,,300.0,95.0,54.0,2.9,3.4,8.0,58.5,216.0,22.0,1.34,0.47,320.0,16.4,,600.0,,,1.2
42,156.0,B&C Speakers,Haut parleur a cone,10NW64,8 ohm,Neodymium,Cylindrique,0.26,0.27,4.3,Aluminium,Tissu,Fibre de verre,Cuivre,,300.0,96.0,59.0,2.9,5.2,6.0,47.0,219.0,22.0,1.61,0.65,320.0,18.3,,,8.0,16.0,1.6
43,230.0,B&C Speakers,Haut parleur a cone,10NW76,16 ohm,Neodymium,Cylindrique,0.29,0.3,8.7,Aluminium,,Fibre de verre,CCAW (alu recouvert de cuivre),,400.0,96.8,68.0,3.8,10.0,7.0,42.5,227.0,18.5,1.87,0.58,320.0,24.7,,,10.0,19.0,1.88
44,230.0,B&C Speakers,Haut parleur a cone,10NW76,4 ohm,Neodymium,Cylindrique,0.19,0.2,6.99,Aluminium,,Fibre de verre,CCAW (alu recouvert de cuivre),,250.0,97.5,67.0,3.8,3.0,6.5,45.4,335.0,17.8,2.57,0.53,320.0,16.98,,500.0,,,2.64
45,230.0,B&C Speakers,Haut parleur a cone,10NW76,8 ohm,Neodymium,Cylindrique,0.26,0.27,7.8,Aluminium,,Fibre de verre,CCAW (alu recouvert de cuivre),,400.0,96.3,67.0,3.8,5.5,6.8,47.0,248.0,17.6,1.89,0.38,320.0,20.0,,,10.0,18.5,1.85
46,149.0,B&C Speakers,Haut parleur a cone,10PE26,8 ohm,Ferrite,Cylindrique,0.18,0.19,6.3,Aluminium,,Fibre de verre,Aluminium,,250.0,99.0,60.0,,5.7,2.4,27.0,316.0,37.0,4.04,1.3,320.0,17.7,,,8.0,12.0,4.1
47,199.0,B&C Speakers,Haut parleur a cone,10PLB76,16 ohm,Ferrite,Cylindrique,0.24,0.24,8.33,Aluminium,Tissu,Fibre de verre,Aluminium,,400.0,97.0,51.0,7.3,10.2,6.0,40.8,213.0,35.0,1.86,1.13,320.0,23.28,,,8.0,20.0,1.78
48,199.0,B&C Speakers,Haut parleur a cone,10PLB76,8 ohm,Ferrite,Cylindrique,0.19,0.2,3.4,Aluminium,Tissu,Fibre de verre,Aluminium,,400.0,98.0,52.0,7.3,4.8,6.0,43.0,260.0,31.0,2.1,0.32,320.0,18.4,,,8.0,20.0,2.2
49,173.0,B&C Speakers,Haut parleur a cone,10PS26,16 ohm,Ferrite,Cylindrique,0.34,0.37,5.0,Aluminium,Tissu,Kapton,Aluminium,,350.0,95.0,54.0,6.0,10.0,8.0,45.0,146.0,28.0,1.15,2.4,320.0,20.1,,,10.5,18.5,1.26
50,173.0,B&C Speakers,Haut parleur a cone,10PS26,4 ohm,Ferrite,Cylindrique,0.25,0.26,4.58,Aluminium,,Kapton,Aluminium,,350.0,96.0,50.0,6.0,3.2,6.0,44.3,192.0,33.3,1.54,0.37,320.0,13.07,,,10.0,18.0,1.52
51,165.0,B&C Speakers,Haut parleur a cone,10PS26,8 ohm,Ferrite,Cylindrique,0.29,0.33,2.9,Aluminium,,Kapton,Aluminium,,350.0,96.0,54.0,6.0,6.0,5.5,33.0,164.0,38.0,1.75,1.2,320.0,14.1,,,10.0,18.0,1.8
52,293.0,B&C Speakers,Haut parleur a cone,12BG76,8 ohm,Neodymium,Cylindrique,0.41,0.44,5.9,Aluminium,,Fibre de verre,Cuivre,,500.0,92.0,44.0,5.0,5.4,9.5,148.0,100.0,32.0,0.6,1.1,522.0,22.7,,,11.0,25.0,0.65
53,128.0,B&C Speakers,Haut parleur a cone,12CL64,4 ohm,Neodymium,Cylindrique,0.25,0.27,4.24,Acier,Tissu,Fibre de verre,Cuivre,,250.0,98.0,49.0,1.9,3.1,4.0,60.3,181.0,67.3,2.82,0.76,522.0,14.83,,,8.0,13.1,2.86
54,128.0,B&C Speakers,Haut parleur a cone,12CL64,8 ohm,Neodymium,Cylindrique,0.3,0.32,4.3,Acier,Tissu,Fibre de verre,Cuivre,,250.0,98.0,52.0,1.9,5.5,4.5,55.0,163.0,64.0,2.7,1.1,522.0,17.5,,,8.0,13.0,3.4
55,159.0,B&C Speakers,Haut parleur a cone,12CL76,4 ohm,Neodymium,Cylindrique,0.19,0.2,3.41,Acier,Tissu,Fibre de verre,Cuivre,,350.0,98.0,48.0,3.0,3.4,6.0,74.3,240.0,60.0,3.19,1.22,522.0,19.47,,,11.0,17.0,2.99
56,159.0,B&C Speakers,Haut parleur a cone,12CL76,8 ohm,Neodymium,Cylindrique,0.21,0.22,4.8,Acier,Tissu,Fibre de verre,Cuivre,,350.0,98.5,48.0,3.0,5.2,6.0,70.0,218.0,59.0,2.85,1.5,522.0,22.4,,,11.0,17.0,2.9
57,167.0,B&C Speakers,Haut parleur a cone,12CLA76,8 ohm,Neodymium,Cylindrique,0.25,0.26,4.9,Acier,,Fibre de verre,CCAW (alu recouvert de cuivre),,350.0,98.5,52.0,3.4,5.1,5.3,64.0,200.0,56.0,2.91,0.44,522.0,20.2,,,11.0,16.0,2.9
58,268.0,B&C Speakers,Haut-parleur coaxial a deux entrees,12CLX64,8+8 ohm,Neodymium,Cylindrique,0.57,0.61,10.1,Acier,Tissu,Kapton,Aluminium,,250.0,96.2,54.0,3.3,5.6,5.3,45.3,89.0,74.0,1.84,0.54,522.0,11.86,,,8.0,14.5,1.82
59,431.0,B&C Speakers,Haut-parleur coaxial a deux entrees,12CXN76,8+8 ohm,Neodymium,Cylindrique,0.19,0.2,8.0,Aluminium,,Fibre de verre,Aluminium,,350.0,99.0,42.0,5.0,5.0,4.0,47.0,210.0,120.0,4.27,0.8,522.0,17.6,,,8.0,16.2,4.1
60,543.0,B&C Speakers,Haut-parleur coaxial a deux entrees,12CXN88,8+8 ohm,Neodymium,Cylindrique,0.22,0.23,8.3,Aluminium,,Fibre de verre,Aluminium,,500.0,100.0,50.0,6.0,5.0,8.0,60.0,217.0,59.0,3.08,1.05,522.0,20.9,,,11.0,21.5,3.6
61,212.0,B&C Speakers,Haut-parleur coaxial a deux entrees,12CXT,8+8 ohm,Ferrite,Cylindrique,0.32,0.35,3.9,Aluminium,,Aluminium,Cuivre,,200.0,98.0,49.0,5.6,5.3,3.0,43.0,140.0,91.0,2.94,1.2,522.0,14.4,,,,,3.1
62,354.0,B&C Speakers,Haut-parleur coaxial a deux entrees,12FCX76,8+8 ohm,Ferrite,Cylindrique,0.34,0.35,11.0,Aluminium,,Fibre de verre,Aluminium,,350.0,98.0,47.0,8.0,5.3,6.5,54.0,134.0,82.0,2.34,1.3,522.0,15.6,,,8.0,16.5,2.3
63,274.0,B&C Speakers,Haut parleur a cone,12FG100,4 ohm,Ferrite,Cylindrique,0.32,0.34,5.4,Aluminium,Caoutchouc,Fibre de verre,Cuivre,,1000.0,91.0,34.0,12.5,2.9,10.3,161.9,100.0,53.0,0.59,1.15,522.0,17.24,,2000.0,12.0,26.5,0.57
64,274.0,B&C Speakers,Haut parleur a cone,12FG100,8 ohm,Ferrite,Cylindrique,0.36,0.39,5.1,Aluminium,Caoutchouc,Fibre de verre,Cuivre,,1000.0,91.0,34.0,12.5,4.9,10.3,167.8,87.0,49.0,0.48,0.96,522.0,21.4,,2000.0,12.0,26.5,0.49
65,361.0,B&C Speakers,Haut-parleur coaxial a deux entrees,12FHX76,8+8 ohm,Ferrite,Cylindrique,0.33,0.36,5.4,Aluminium,,Fibre de verre,Aluminium,,350.0,98.0,48.0,8.5,5.2,6.5,47.0,133.0,88.0,2.6,1.6,522.0,14.4,,,16.5,8.0,2.7
66,159.0,B&C Speakers,Haut parleur a cone,12FW64,4 ohm,Ferrite,Cylindrique,0.3,0.32,6.39,Aluminium,,Fibre de verre,Aluminium,,250.0,98.0,53.0,5.6,3.4,4.5,45.4,166.0,80.9,3.62,0.56,522.0,12.59,,,,,3.32
67,159.0,B&C Speakers,Haut parleur a cone,12FW64,8 ohm,Ferrite,Cylindrique,0.29,0.32,3.5,Aluminium,,Fibre de verre,Aluminium,,250.0,98.0,55.0,5.6,5.2,5.0,47.0,172.0,64.0,3.2,1.0,522.0,15.5,,,8.0,14.0,3.6
68,178.0,B&C Speakers,Haut parleur a cone,12FW76,16 ohm,Ferrite,Cylindrique,0.19,0.2,4.7,Aluminium,Tissu,Fibre de verre,Cuivre,,500.0,100.0,51.0,8.5,10.1,7.0,67.2,255.0,56.4,3.6,2.46,522.0,32.9,200.0,1000.0,,,3.52
69,178.0,B&C Speakers,Haut parleur a cone,12FW76,4 ohm,Ferrite,Cylindrique,0.17,0.17,4.19,Aluminium,Tissu,Fibre de verre,Cuivre,,500.0,99.0,54.0,8.5,3.1,7.0,69.4,318.0,48.5,4.32,1.01,522.0,20.38,200.0,,11.0,19.0,4.15
70,178.0,B&C Speakers,Haut parleur a cone,12FW76,8 ohm,Ferrite,Cylindrique,0.18,0.18,3.8,Aluminium,Tissu,Fibre de verre,Cuivre,,500.0,100.0,54.0,8.5,5.1,7.0,75.0,300.0,45.0,3.78,1.4,522.0,26.4,200.0,,11.0,19.0,3.7
71,191.0,B&C Speakers,Haut parleur a cone,12FW88,8 ohm,Ferrite,Cylindrique,0.33,0.35,7.7,Aluminium,Tissu,Fibre de verre,Aluminium,,700.0,97.1,53.0,8.3,5.1,8.0,76.4,151.0,45.7,1.87,0.9,531.0,19.5,,1400.0,11.0,21.5,
72,457.0,B&C Speakers,Haut-parleur coaxial a deux entrees,12HCX76,8+8 ohm,Neodymium,Cylindrique,0.19,0.2,8.0,Aluminium,,Fibre de verre,Aluminium,,350.0,99.0,42.0,5.2,5.0,4.0,47.0,210.0,120.0,4.27,0.8,522.0,17.6,,,8.0,16.5,4.1
73,143.0,B&C Speakers,Haut parleur a cone,12HPL64,4 ohm,Neodymium,Cylindrique,0.33,0.34,5.8,Aluminium,,Fibre de verre,Aluminium,,200.0,98.4,50.0,2.1,3.4,4.0,40.4,147.0,92.3,3.26,0.7,522.0,11.7,,,,13.5,3.5
74,143.0,B&C Speakers,Haut parleur a cone,12HPL64,8 ohm,Neodymium,Cylindrique,0.32,0.35,3.3,Aluminium,,Fibre de verre,Aluminium,,200.0,100.0,52.0,2.1,6.0,4.0,42.0,149.0,85.0,3.28,1.1,522.0,14.9,,,8.0,13.0,3.3
75,176.0,B&C Speakers,Haut parleur a cone,12HPL76,4 ohm,Neodymium,Cylindrique,0.23,0.24,5.18,Aluminium,,Fibre de verre,Aluminium,,350.0,98.8,51.0,3.2,3.74,4.0,44.5,213.0,84.98,4.51,1.04,522.0,14.79,,,,16.0,4.39
76,176.0,B&C Speakers,Haut parleur a cone,12HPL76,8 ohm,Neodymium,Cylindrique,0.25,0.26,2.5,Aluminium,,Fibre de verre,Aluminium,,350.0,99.0,49.0,3.2,6.0,4.0,43.0,188.0,91.0,3.96,1.5,522.0,17.3,,,10.0,18.0,4.1
77,188.0,B&C Speakers,Haut parleur a cone,12MH32,8 ohm,Ferrite,Cylindrique,0.19,0.2,7.2,Aluminium,,Fibre de verre,Cuivre,,400.0,101.0,53.0,7.6,5.2,5.0,54.0,265.0,63.0,4.51,0.83,522.0,22.3,,,8.0,14.0,4.8
78,176.0,B&C Speakers,Haut parleur a cone,12MH801,8 ohm,Ferrite,Cylindrique,0.21,0.22,5.6,Aluminium,Tissu,Fibre de verre,Aluminium,,350.0,100.0,53.0,7.4,5.0,6.0,46.0,241.0,76.0,4.94,0.57,522.0,18.6,,700.0,16.0,8.0,4.82
79,295.0,B&C Speakers,Haut parleur a cone,12NBX100,8 ohm,Neodymium,Cylindrique,0.22,0.24,3.9,Aluminium,,Fibre de verre,Cuivre,,1000.0,96.0,41.0,8.0,5.1,10.0,117.0,171.0,51.0,1.41,1.9,531.0,25.6,157.0,,11.0,25.0,1.45
80,186.0,B&C Speakers,Haut parleur a cone,12NDL76,16 ohm,Neodymium,Cylindrique,0.27,0.3,3.8,Aluminium,,Fibre de verre,Aluminium,,400.0,100.0,50.0,3.9,10.2,7.0,56.0,167.0,69.0,2.76,1.7,522.0,24.7,,,10.0,19.0,2.8
81,195.0,B&C Speakers,Haut parleur a cone,12NDL76,4 ohm,Neodymium,Cylindrique,0.19,0.2,3.25,Aluminium,,Fibre de verre,Aluminium,,400.0,99.8,50.0,3.9,3.1,6.0,54.0,250.0,70.0,4.2,0.72,522.0,16.5,,,10.0,18.5,4.57
82,186.0,B&C Speakers,Haut parleur a cone,12NDL76,8 ohm,Neodymium,Cylindrique,0.2,0.21,4.2,Aluminium,,Fibre de verre,Aluminium,,400.0,100.0,50.0,3.9,5.3,7.0,53.0,238.0,73.0,4.18,1.0,522.0,20.1,,,10.0,19.0,4.3
83,247.0,B&C Speakers,Haut parleur a cone,12NDL88,16 ohm,Neodymium,Cylindrique,0.37,0.38,8.3,Aluminium,,Fibre de verre,Aluminium,,700.0,97.0,50.0,4.5,11.1,8.0,70.0,132.0,55.0,1.74,2.1,522.0,25.3,,,10.0,21.0,1.8
84,247.0,B&C Speakers,Haut parleur a cone,12NDL88,4 ohm,Neodymium,Cylindrique,0.24,0.25,6.8,Aluminium,,Fibre de verre,Aluminium,,700.0,97.0,48.0,4.5,3.1,8.0,73.6,192.0,57.0,2.43,0.9,522.0,16.6,,,10.0,21.0,2.5
85,235.0,B&C Speakers,Haut parleur a cone,12NDL88,8 ohm,Neodymium,Cylindrique,0.27,0.29,5.0,Aluminium,,Fibre de verre,Aluminium,,700.0,98.0,51.0,4.5,5.0,8.0,71.0,176.0,52.0,2.29,1.3,522.0,19.9,,,10.0,21.0,2.3
